    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
    0,         0,         0,        1,       20,   0.3000,    53961,      236,     0110, 20.17144,        0,        0,        1,    55654,    55488,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   294981,   656272,    12927,     1848,      581,     1400,   673110,       99,      173,     4215,      256,   675690,       46,       45,     3971,      116,        0,        0,        0
    1,     0.006,     0.012,        0,       18,   0.3000,    53942,      236,     0110,        0,        0,        0,        0,    55634,    55464,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   147219,   328625,     3630,   400269,      214,      950,   734527,      112,      225,     3602,      596,   736912,       50,       61,     4049,      210,        0,        0,        0
    2,     0.012,     0.024,        0,       19,   0.3000,    53957,      236,     0110,        0,        0,        0,        0,    55607,    55512,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2802,     6934,     2324,   656742,      115,      126,   668191,      112,      206,     3459,     6011,   675586,       56,       61,     4163,      436,        0,        0,        0
    3,     0.018,     0.036,        0,       18,   0.3000,    53965,      236,     0110,        0,        0,        0,        0,    55630,    55513,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1232,     3143,     1943,    27716,       71,       65,    33197,       94,      128,     3820,   637885,   672218,       44,       65,     4532,      902,        0,        0,        0
    4,     0.024,     0.048,        0,       18,   0.3000,    53945,      236,     0110,        0,        0,        0,        0,    55699,    55397,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1109,     2546,     2004,     4819,       55,       55,     9609,      100,       91,     4005,   664183,   627143,       67,       67,     4883,    48791,        0,        0,        0
    5,      0.03,      0.06,        0,       20,   0.3000,    53932,      237,     0110,        0,        0,        0,        0,    55611,    55457,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1143,     2714,     2058,     2923,       49,       37,     7850,       74,       79,     4445,   661981,    20021,       54,       72,     5316,   652314,        0,        0,        0
    6,     0.036,     0.072,        0,       17,   0.3000,    53941,      236,     0110,        0,        0,        0,        1,    55601,    55492,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1374,     3122,     2273,     2898,       23,       29,     8385,       58,       54,     4957,   682824,    14176,       45,       66,     5724,   680184,        0,        0,        0
    7,     0.042,     0.084,        0,       20,   0.3000,    53958,      236,     0110,        0,        0,        0,        0,    55591,    55534,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1512,     3251,     2529,     3342,       27,       29,     9191,       54,       52,     5340,   656676,    14234,       52,       54,     6140,   663653,        0,        0,        0
    8,     0.048,     0.096,        0,       19,   0.3000,    53967,      235,     0110,        0,        0,        0,        0,    55625,    55512,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1647,     3647,     2824,     3864,       17,       26,    10405,       28,       36,     5756,    21473,    15634,       43,       36,     6506,   657327,        0,        0,        0
    9,     0.054,     0.108,        0,       19,   0.3000,    53964,      236,     0110,        0,        0,        0,        0,    55654,    55471,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1752,     3957,     2902,     4447,       12,       18,    11363,       33,       46,     6199,     7911,    17031,       36,       55,     6827,   709677,        0,        0,        0
   10,      0.06,      0.12,        0,       19,   0.3000,    53974,      235,     0110,        0,        0,        0,        0,    55744,    55401,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     1974,     4439,     3171,     5092,       13,       16,    12754,       31,       31,     6549,     6457,    18867,       37,       39,     7180,   661310,        0,        0,        0
   11,     0.066,     0.132,        0,       19,   0.3000,    53962,      235,     0110,        0,        0,        0,        0,    55777,    55352,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2091,     4753,     3599,     5595,       13,       15,    14003,       31,       38,     6960,     6512,    20721,       27,       34,     7654,   663647,        0,        0,        0
   12,     0.072,     0.144,        0,       20,   0.3000,    53972,      235,     0110,        0,        0,        0,        0,    55724,    55428,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2275,     5016,     3900,     5916,       13,       14,    14885,       20,       19,     7596,     6971,    22417,       25,       33,     8059,   632906,        0,        0,        0
   13,     0.078,     0.156,        0,       18,   0.3000,    53926,      235,     0110,        0,        0,        0,        1,    55695,    55368,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2502,     5616,     4156,     6093,        9,       15,    15906,       19,       24,     7979,     7921,    24440,       26,       45,     8428,    16858,        0,        0,        0
   14,     0.084,     0.168,        0,       19,   0.3000,    53908,      235,     0110,        0,        0,        0,        0,    55640,    55382,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2731,     6004,     4234,     6593,       14,       12,    16883,       23,       17,     8414,     8725,    26127,       26,       29,     8663,     7860,        0,        0,        0
   15,      0.09,      0.18,        0,       17,   0.3000,    53887,      235,     0110,        0,        0,        0,        0,    55596,    55397,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2853,     6311,     4537,     6952,       12,       15,    17853,       12,       22,     8808,     9566,    27916,       27,        8,     8914,     6440,        0,        0,        0
   16,     0.096,     0.192,        0,      552,   0.3000,    53902,      235,     0100,        0,        0,        0,        0,    55647,    55376,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   645533,  1418560,   988444,  1540957,     2467,     3168,  3960571,     1996,     2550,  1888019,  2076263,  6129425,     2199,     2506,  1931614,  1214991,        0,        0,        0
   17,     0.102,     0.204,        1,      142,   0.3000,    53912,      235,     1100, 0.14144744,        0,        0,        1,    55630,    55403,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   157948,   348516,   244456,   375739,      622,      774,   971861,      480,      576,   461794,   529882,  1517916,      481,      573,   468634,   293471,        0,        0,        0
   18,     0.108,     0.216,        0,      141,   0.3000,    53888,      235,     1100,        0,        0,        0,        0,    55648,    55339,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   168087,   368829,   258047,   396583,      687,      775,  1026805,      471,      582,   480471,   565185,  1603276,      485,      573,   481764,   309162,        0,        0,        0
   19,     0.114,     0.228,        0,      142,   0.3000,    53879,      235,     1100,        0,        0,        0,        0,    55557,    55412,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   174238,   382397,   267398,   413288,      659,      833,  1066494,      516,      655,   492317,   598002,  1661686,      510,      586,   489114,   332420,        0,        0,        0
   20,      0.12,      0.24,        0,      144,   0.3000,    53876,      235,     1100,        0,        0,        0,        0,    55600,    55362,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   184522,   405154,   280634,   438473,      690,      898,  1127934,      574,      735,   507765,   641900,  1748528,      557,      594,   496256,   367099,        0,        0,        0
   21,     0.126,     0.252,        0,      141,   0.3000,    53908,      235,     1100,        0,        0,        0,        1,    55681,    55344,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   190690,   419251,   289634,   453556,      715,      909,  1166154,      640,      748,   520651,   669661,  1802627,      609,      640,   490166,   392982,        0,        0,        0
